"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_off_road","HR-PPO - rollout/perc_off_road__MIN","HR-PPO - rollout/perc_off_road__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_off_road","PPO - rollout/perc_off_road__MIN","PPO - rollout/perc_off_road__MAX"
"2834802","242","242","242","5.462184906005859","5.462184906005859","5.462184906005859","","","","","",""
"2836888","","","","","","","232","232","232","6","6","6"
"2856460","","","","","","","234","234","234","7.313642978668213","7.313642978668213","7.313642978668213"
"2866494","244","244","244","3.6781609058380127","3.6781609058380127","3.6781609058380127","","","","","",""
"2880199","","","","","","","236","236","236","7.336343288421631","7.336343288421631","7.336343288421631"
"2891340","246","246","246","6.398809432983398","6.398809432983398","6.398809432983398","","","","","",""
"2903668","","","","","","","238","238","238","7.117853164672852","7.117853164672852","7.117853164672852"
"2912800","248","248","248","6.620209217071533","6.620209217071533","6.620209217071533","","","","","",""
"2928672","","","","","","","240","240","240","7.344632625579834","7.344632625579834","7.344632625579834"
"2939697","250","250","250","5.745553970336914","5.745553970336914","5.745553970336914","","","","","",""
"2958749","","","","","","","242","242","242","5.495584011077881","5.495584011077881","5.495584011077881"
"2969202","252","252","252","4.189944267272949","4.189944267272949","4.189944267272949","","","","","",""
"2987591","","","","","","","244","244","244","5.517909049987793","5.517909049987793","5.517909049987793"
"2994947","254","254","254","3.9716312885284424","3.9716312885284424","3.9716312885284424","","","","","",""
"3012666","","","","","","","246","246","246","5.473204135894775","5.473204135894775","5.473204135894775"
"3015515","256","256","256","7.3214287757873535","7.3214287757873535","7.3214287757873535","","","","","",""
"3035424","258","258","258","6.65362024307251","6.65362024307251","6.65362024307251","","","","","",""
"3042025","","","","","","","248","248","248","6.286266803741455","6.286266803741455","6.286266803741455"
"3058712","260","260","260","5.9936909675598145","5.9936909675598145","5.9936909675598145","","","","","",""
"3066585","","","","","","","250","250","250","6.199770450592041","6.199770450592041","6.199770450592041"
"3084261","262","262","262","3.732503890991211","3.732503890991211","3.732503890991211","","","","","",""
"3091868","","","","","","","252","252","252","5.694760799407959","5.694760799407959","5.694760799407959"
"3104791","264","264","264","4.393672943115234","4.393672943115234","4.393672943115234","","","","","",""
"3116180","","","","","","","254","254","254","7.303370952606201","7.303370952606201","7.303370952606201"
"3125846","266","266","266","5.464480876922607","5.464480876922607","5.464480876922607","","","","","",""
"3137564","","","","","","","256","256","256","5.243445873260498","5.243445873260498","5.243445873260498"
"3149225","268","268","268","7.317073345184326","7.317073345184326","7.317073345184326","","","","","",""
"3168390","","","","","","","258","258","258","5.293551445007324","5.293551445007324","5.293551445007324"
"3172002","270","270","270","8.652246475219727","8.652246475219727","8.652246475219727","","","","","",""
"3188056","","","","","","","260","260","260","7.856191635131836","7.856191635131836","7.856191635131836"
"3197381","272","272","272","5.683563709259033","5.683563709259033","5.683563709259033","","","","","",""
"3214107","","","","","","","262","262","262","6.1052632331848145","6.1052632331848145","6.1052632331848145"
"3223359","274","274","274","5.022156715393066","5.022156715393066","5.022156715393066","","","","","",""
"3240134","","","","","","","264","264","264","8.705114364624023","8.705114364624023","8.705114364624023"
"3251476","276","276","276","3.9780521392822266","3.9780521392822266","3.9780521392822266","","","","","",""
"3261806","","","","","","","266","266","266","6.634499549865723","6.634499549865723","6.634499549865723"
"3278751","278","278","278","4.397162914276123","4.397162914276123","4.397162914276123","","","","","",""
"3287689","","","","","","","268","268","268","5.811403274536133","5.811403274536133","5.811403274536133"
"3304992","280","280","280","3.9017341136932373","3.9017341136932373","3.9017341136932373","","","","","",""
"3312168","","","","","","","270","270","270","5.6306304931640625","5.6306304931640625","5.6306304931640625"
"3328695","282","282","282","4.560260772705078","4.560260772705078","4.560260772705078","","","","","",""
"3332488","","","","","","","272","272","272","6.6753926277160645","6.6753926277160645","6.6753926277160645"
"3345756","284","284","284","7.068606853485107","7.068606853485107","7.068606853485107","","","","","",""
"3357059","","","","","","","274","274","274","6.844919681549072","6.844919681549072","6.844919681549072"
"3377093","286","286","286","5.282555103302002","5.282555103302002","5.282555103302002","","","","","",""
"3387868","","","","","","","276","276","276","5.550329208374023","5.550329208374023","5.550329208374023"
"3397174","288","288","288","4.823747634887695","4.823747634887695","4.823747634887695","","","","","",""
"3412117","","","","","","","278","278","278","7.369614601135254","7.369614601135254","7.369614601135254"
"3423745","290","290","290","5.417276859283447","5.417276859283447","5.417276859283447","","","","","",""
"3437272","","","","","","","280","280","280","7.158836841583252","7.158836841583252","7.158836841583252"
"3448424","292","292","292","4.565537452697754","4.565537452697754","4.565537452697754","","","","","",""
