"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_goal_achieved","HR-PPO - rollout/perc_goal_achieved__MIN","HR-PPO - rollout/perc_goal_achieved__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_goal_achieved","PPO - rollout/perc_goal_achieved__MIN","PPO - rollout/perc_goal_achieved__MAX"
"1369057","122","122","122","84.15841674804688","84.15841674804688","84.15841674804688","","","","","",""
"1376254","","","","","","","118","118","118","81.2349624633789","81.2349624633789","81.2349624633789"
"1392256","124","124","124","85.15007781982422","85.15007781982422","85.15007781982422","","","","","",""
"1394868","","","","","","","120","120","120","80","80","80"
"1411314","126","126","126","84.708251953125","84.708251953125","84.708251953125","","","","","",""
"1421903","","","","","","","122","122","122","84.30540466308594","84.30540466308594","84.30540466308594"
"1435132","128","128","128","84.44444274902344","84.44444274902344","84.44444274902344","","","","","",""
"1449902","","","","","","","124","124","124","79.97903442382812","79.97903442382812","79.97903442382812"
"1452760","130","130","130","86.84760284423828","86.84760284423828","86.84760284423828","","","","","",""
"1475488","132","132","132","87.3770523071289","87.3770523071289","87.3770523071289","","","","","",""
"1478568","","","","","","","126","126","126","81.3176040649414","81.3176040649414","81.3176040649414"
"1495687","134","134","134","84.53038787841797","84.53038787841797","84.53038787841797","","","","","",""
"1503928","","","","","","","128","128","128","81.46892547607422","81.46892547607422","81.46892547607422"
"1523128","136","136","136","85.61643981933594","85.61643981933594","85.61643981933594","","","","","",""
"1531535","","","","","","","130","130","130","80.39624786376953","80.39624786376953","80.39624786376953"
"1551370","138","138","138","85.39006805419922","85.39006805419922","85.39006805419922","","","","","",""
"1555004","","","","","","","132","132","132","80.31591796875","80.31591796875","80.31591796875"
"1578293","140","140","140","83.52769470214844","83.52769470214844","83.52769470214844","","","","","",""
"1578782","","","","","","","134","134","134","80.7038803100586","80.7038803100586","80.7038803100586"
"1601743","","","","","","","136","136","136","83.07508850097656","83.07508850097656","83.07508850097656"
"1605155","142","142","142","81.53638458251953","81.53638458251953","81.53638458251953","","","","","",""
"1627732","144","144","144","82.71812438964844","82.71812438964844","82.71812438964844","","","","","",""
"1628513","","","","","","","138","138","138","82.75862121582031","82.75862121582031","82.75862121582031"
"1649605","146","146","146","86.82432556152344","86.82432556152344","86.82432556152344","","","","","",""
"1651184","","","","","","","140","140","140","82.3303451538086","82.3303451538086","82.3303451538086"
"1672554","148","148","148","87.43961334228516","87.43961334228516","87.43961334228516","","","","","",""
"1673867","","","","","","","142","142","142","81.6502456665039","81.6502456665039","81.6502456665039"
"1695649","150","150","150","90.81803131103516","90.81803131103516","90.81803131103516","","","","","",""
"1703373","","","","","","","144","144","144","84.69999694824219","84.69999694824219","84.69999694824219"
"1718102","152","152","152","88.02083587646484","88.02083587646484","88.02083587646484","","","","","",""
"1728849","","","","","","","146","146","146","85.15901184082031","85.15901184082031","85.15901184082031"
"1743965","154","154","154","88.36524200439453","88.36524200439453","88.36524200439453","","","","","",""
"1757084","","","","","","","148","148","148","85.54337310791016","85.54337310791016","85.54337310791016"
"1775644","","","","","","","150","150","150","82.42424011230469","82.42424011230469","82.42424011230469"
"1776897","156","156","156","84.9142837524414","84.9142837524414","84.9142837524414","","","","","",""
"1801331","158","158","158","89.87138366699219","89.87138366699219","89.87138366699219","","","","","",""
"1802733","","","","","","","152","152","152","83.42189025878906","83.42189025878906","83.42189025878906"
"1823599","160","160","160","86.87196350097656","86.87196350097656","86.87196350097656","","","","","",""
"1827808","","","","","","","154","154","154","83.09178924560547","83.09178924560547","83.09178924560547"
"1845282","162","162","162","87.43718719482422","87.43718719482422","87.43718719482422","","","","","",""
"1852574","","","","","","","156","156","156","82.59912109375","82.59912109375","82.59912109375"
"1873307","","","","","","","158","158","158","83.02139282226562","83.02139282226562","83.02139282226562"
"1877128","164","164","164","89.0243911743164","89.0243911743164","89.0243911743164","","","","","",""
"1897617","166","166","166","85.82230377197266","85.82230377197266","85.82230377197266","","","","","",""
"1898185","","","","","","","160","160","160","84.71910095214844","84.71910095214844","84.71910095214844"
"1927468","","","","","","","162","162","162","85.02462768554688","85.02462768554688","85.02462768554688"
"1929591","168","168","168","87.51472473144531","87.51472473144531","87.51472473144531","","","","","",""
"1950946","","","","","","","164","164","164","85.78143310546875","85.78143310546875","85.78143310546875"
"1959889","170","170","170","88.61578369140625","88.61578369140625","88.61578369140625","","","","","",""
"1972418","","","","","","","166","166","166","86.23853302001953","86.23853302001953","86.23853302001953"
"1987420","172","172","172","85.989013671875","85.989013671875","85.989013671875","","","","","",""
"1992119","","","","","","","168","168","168","84.2475357055664","84.2475357055664","84.2475357055664"
"2013738","174","174","174","86.53295135498047","86.53295135498047","86.53295135498047","","","","","",""
"2018173","","","","","","","170","170","170","85.26200866699219","85.26200866699219","85.26200866699219"
"2035142","176","176","176","87.34403228759766","87.34403228759766","87.34403228759766","","","","","",""
"2048342","","","","","","","172","172","172","88.80382537841797","88.80382537841797","88.80382537841797"
