"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/ep_rew_mean_norm","HR-PPO - rollout/ep_rew_mean_norm__MIN","HR-PPO - rollout/ep_rew_mean_norm__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/ep_rew_mean_norm","PPO - rollout/ep_rew_mean_norm__MIN","PPO - rollout/ep_rew_mean_norm__MAX"
"1011303","","","","","","","90","90","90","0.7200064659118652","0.7200064659118652","0.7200064659118652"
"1033543","94","94","94","0.7670111060142517","0.7670111060142517","0.7670111060142517","","","","","",""
"1039199","","","","","","","92","92","92","0.7735042572021484","0.7735042572021484","0.7735042572021484"
"1051207","96","96","96","0.7513160705566406","0.7513160705566406","0.7513160705566406","","","","","",""
"1062800","","","","","","","94","94","94","0.745352029800415","0.745352029800415","0.745352029800415"
"1081779","98","98","98","0.7895970940589905","0.7895970940589905","0.7895970940589905","","","","","",""
"1091603","","","","","","","96","96","96","0.7670195698738098","0.7670195698738098","0.7670195698738098"
"1098699","100","100","100","0.7728883624076843","0.7728883624076843","0.7728883624076843","","","","","",""
"1117930","","","","","","","98","98","98","0.7627174854278564","0.7627174854278564","0.7627174854278564"
"1118523","102","102","102","0.7613525390625","0.7613525390625","0.7613525390625","","","","","",""
"1141931","104","104","104","0.827228307723999","0.827228307723999","0.827228307723999","","","","","",""
"1147083","","","","","","","100","100","100","0.7602277398109436","0.7602277398109436","0.7602277398109436"
"1163564","106","106","106","0.7778336405754089","0.7778336405754089","0.7778336405754089","","","","","",""
"1169250","","","","","","","102","102","102","0.7552804350852966","0.7552804350852966","0.7552804350852966"
"1191781","108","108","108","0.8080106973648071","0.8080106973648071","0.8080106973648071","","","","","",""
"1195181","","","","","","","104","104","104","0.7608014345169067","0.7608014345169067","0.7608014345169067"
"1214687","110","110","110","0.8313575387001038","0.8313575387001038","0.8313575387001038","","","","","",""
"1215258","","","","","","","106","106","106","0.7234392762184143","0.7234392762184143","0.7234392762184143"
"1233651","112","112","112","0.7795233130455017","0.7795233130455017","0.7795233130455017","","","","","",""
