"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/pi_entropy","HR-PPO - regularize/pi_entropy__MIN","HR-PPO - regularize/pi_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/pi_entropy","PPO - regularize/pi_entropy__MIN","PPO - regularize/pi_entropy__MAX"
"1495687","134","134","134","1.8151044845581055","1.8151044845581055","1.8151044845581055","","","","","",""
"1503928","","","","","","","128","128","128","4.682393550872803","4.682393550872803","4.682393550872803"
"1523128","136","136","136","1.6266605854034424","1.6266605854034424","1.6266605854034424","","","","","",""
"1531535","","","","","","","130","130","130","4.599400520324707","4.599400520324707","4.599400520324707"
"1551370","138","138","138","1.5009547472000122","1.5009547472000122","1.5009547472000122","","","","","",""
"1555004","","","","","","","132","132","132","4.635457515716553","4.635457515716553","4.635457515716553"
"1578293","140","140","140","1.5332480669021606","1.5332480669021606","1.5332480669021606","","","","","",""
"1578782","","","","","","","134","134","134","4.585941791534424","4.585941791534424","4.585941791534424"
"1601743","","","","","","","136","136","136","4.497002124786377","4.497002124786377","4.497002124786377"
"1605155","142","142","142","1.5490769147872925","1.5490769147872925","1.5490769147872925","","","","","",""
"1627732","144","144","144","1.6673685312271118","1.6673685312271118","1.6673685312271118","","","","","",""
"1628513","","","","","","","138","138","138","4.485984802246094","4.485984802246094","4.485984802246094"
"1649605","146","146","146","1.4112269878387451","1.4112269878387451","1.4112269878387451","","","","","",""
"1651184","","","","","","","140","140","140","4.485424995422363","4.485424995422363","4.485424995422363"
"1672554","148","148","148","1.5439515113830566","1.5439515113830566","1.5439515113830566","","","","","",""
"1673867","","","","","","","142","142","142","4.455562114715576","4.455562114715576","4.455562114715576"
"1695649","150","150","150","1.609715461730957","1.609715461730957","1.609715461730957","","","","","",""
"1703373","","","","","","","144","144","144","4.4516987800598145","4.4516987800598145","4.4516987800598145"
"1718102","152","152","152","1.5145665407180786","1.5145665407180786","1.5145665407180786","","","","","",""
"1728849","","","","","","","146","146","146","4.393032550811768","4.393032550811768","4.393032550811768"
"1743965","154","154","154","1.6089853048324585","1.6089853048324585","1.6089853048324585","","","","","",""
"1757084","","","","","","","148","148","148","4.472635269165039","4.472635269165039","4.472635269165039"
"1775644","","","","","","","150","150","150","4.259581089019775","4.259581089019775","4.259581089019775"
"1776897","156","156","156","1.5297778844833374","1.5297778844833374","1.5297778844833374","","","","","",""
"1801331","158","158","158","1.4643316268920898","1.4643316268920898","1.4643316268920898","","","","","",""
"1802733","","","","","","","152","152","152","4.296581268310547","4.296581268310547","4.296581268310547"
"1823599","160","160","160","1.5861492156982422","1.5861492156982422","1.5861492156982422","","","","","",""
"1827808","","","","","","","154","154","154","4.290765285491943","4.290765285491943","4.290765285491943"
"1845282","162","162","162","1.5583785772323608","1.5583785772323608","1.5583785772323608","","","","","",""
"1852574","","","","","","","156","156","156","4.283969402313232","4.283969402313232","4.283969402313232"
"1873307","","","","","","","158","158","158","4.235461711883545","4.235461711883545","4.235461711883545"
"1877128","164","164","164","1.6010953187942505","1.6010953187942505","1.6010953187942505","","","","","",""
"1897617","166","166","166","1.4922361373901367","1.4922361373901367","1.4922361373901367","","","","","",""
"1898185","","","","","","","160","160","160","4.241997718811035","4.241997718811035","4.241997718811035"
"1927468","","","","","","","162","162","162","4.157631874084473","4.157631874084473","4.157631874084473"
"1929591","168","168","168","1.5628154277801514","1.5628154277801514","1.5628154277801514","","","","","",""
"1950946","","","","","","","164","164","164","4.1062397956848145","4.1062397956848145","4.1062397956848145"
"1959889","170","170","170","1.4712897539138794","1.4712897539138794","1.4712897539138794","","","","","",""
"1972418","","","","","","","166","166","166","4.070844650268555","4.070844650268555","4.070844650268555"
"1987420","172","172","172","1.4489037990570068","1.4489037990570068","1.4489037990570068","","","","","",""
"1992119","","","","","","","168","168","168","4.02083158493042","4.02083158493042","4.02083158493042"
"2013738","174","174","174","1.3556286096572876","1.3556286096572876","1.3556286096572876","","","","","",""
"2018173","","","","","","","170","170","170","4.028994083404541","4.028994083404541","4.028994083404541"
"2035142","176","176","176","1.6099649667739868","1.6099649667739868","1.6099649667739868","","","","","",""
"2048342","","","","","","","172","172","172","3.9839024543762207","3.9839024543762207","3.9839024543762207"
"2051596","178","178","178","1.6036478281021118","1.6036478281021118","1.6036478281021118","","","","","",""
"2071006","180","180","180","1.8199663162231445","1.8199663162231445","1.8199663162231445","","","","","",""
"2076581","","","","","","","174","174","174","3.9380664825439453","3.9380664825439453","3.9380664825439453"
"2090277","182","182","182","1.6461577415466309","1.6461577415466309","1.6461577415466309","","","","","",""
"2103162","","","","","","","176","176","176","3.9021005630493164","3.9021005630493164","3.9021005630493164"
"2112639","184","184","184","1.5064862966537476","1.5064862966537476","1.5064862966537476","","","","","",""
"2128861","","","","","","","178","178","178","3.910891532897949","3.910891532897949","3.910891532897949"
"2140418","186","186","186","1.4176855087280273","1.4176855087280273","1.4176855087280273","","","","","",""
"2155786","","","","","","","180","180","180","3.935331344604492","3.935331344604492","3.935331344604492"
"2162211","188","188","188","1.6675703525543213","1.6675703525543213","1.6675703525543213","","","","","",""
"2188695","190","190","190","1.674121379852295","1.674121379852295","1.674121379852295","","","","","",""
"2192202","","","","","","","182","182","182","3.6429431438446045","3.6429431438446045","3.6429431438446045"
"2217309","","","","","","","184","184","184","3.937088966369629","3.937088966369629","3.937088966369629"
"2221939","192","192","192","1.6806598901748657","1.6806598901748657","1.6806598901748657","","","","","",""
"2243492","","","","","","","186","186","186","3.6752376556396484","3.6752376556396484","3.6752376556396484"
"2251559","194","194","194","1.5176972150802612","1.5176972150802612","1.5176972150802612","","","","","",""
"2268098","","","","","","","188","188","188","3.890777587890625","3.890777587890625","3.890777587890625"
"2276399","196","196","196","1.4293445348739624","1.4293445348739624","1.4293445348739624","","","","","",""
"2292292","","","","","","","190","190","190","3.7484636306762695","3.7484636306762695","3.7484636306762695"
"2300027","198","198","198","1.6425302028656006","1.6425302028656006","1.6425302028656006","","","","","",""
"2319078","","","","","","","192","192","192","3.7369956970214844","3.7369956970214844","3.7369956970214844"
"2322014","200","200","200","1.6649960279464722","1.6649960279464722","1.6649960279464722","","","","","",""
"2343490","","","","","","","194","194","194","3.8131208419799805","3.8131208419799805","3.8131208419799805"
"2345951","202","202","202","1.58771812915802","1.58771812915802","1.58771812915802","","","","","",""
"2371140","","","","","","","196","196","196","3.606053352355957","3.606053352355957","3.606053352355957"
"2374210","204","204","204","1.420954942703247","1.420954942703247","1.420954942703247","","","","","",""
"2395259","206","206","206","1.5714528560638428","1.5714528560638428","1.5714528560638428","","","","","",""
"2398776","","","","","","","198","198","198","3.6586146354675293","3.6586146354675293","3.6586146354675293"
"2416297","208","208","208","1.4607346057891846","1.4607346057891846","1.4607346057891846","","","","","",""
"2422392","","","","","","","200","200","200","3.7870547771453857","3.7870547771453857","3.7870547771453857"
"2443051","210","210","210","1.4976073503494263","1.4976073503494263","1.4976073503494263","","","","","",""
"2444982","","","","","","","202","202","202","3.704641103744507","3.704641103744507","3.704641103744507"
"2469817","212","212","212","1.4918227195739746","1.4918227195739746","1.4918227195739746","","","","","",""
"2472808","","","","","","","204","204","204","3.6653568744659424","3.6653568744659424","3.6653568744659424"
"2493279","214","214","214","1.4979699850082397","1.4979699850082397","1.4979699850082397","","","","","",""
"2495518","","","","","","","206","206","206","3.5669288635253906","3.5669288635253906","3.5669288635253906"
"2517480","216","216","216","1.5375064611434937","1.5375064611434937","1.5375064611434937","","","","","",""
"2524282","","","","","","","208","208","208","3.544738292694092","3.544738292694092","3.544738292694092"
"2545210","218","218","218","1.5749188661575317","1.5749188661575317","1.5749188661575317","","","","","",""
"2551612","","","","","","","210","210","210","3.622847557067871","3.622847557067871","3.622847557067871"
"2573311","220","220","220","1.5196974277496338","1.5196974277496338","1.5196974277496338","","","","","",""
"2581115","","","","","","","212","212","212","3.607225179672241","3.607225179672241","3.607225179672241"
"2598877","222","222","222","1.5619971752166748","1.5619971752166748","1.5619971752166748","","","","","",""
