"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_collided","HR-PPO - rollout/perc_collided__MIN","HR-PPO - rollout/perc_collided__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_collided","PPO - rollout/perc_collided__MIN","PPO - rollout/perc_collided__MAX"
"2018173","","","","","","","170","170","170","8.515283584594727","8.515283584594727","8.515283584594727"
"2035142","176","176","176","7.664884090423584","7.664884090423584","7.664884090423584","","","","","",""
"2048342","","","","","","","172","172","172","6.028707981109619","6.028707981109619","6.028707981109619"
"2051596","178","178","178","7.126948833465576","7.126948833465576","7.126948833465576","","","","","",""
"2071006","180","180","180","7.312614440917969","7.312614440917969","7.312614440917969","","","","","",""
"2076581","","","","","","","174","174","174","8.225966453552246","8.225966453552246","8.225966453552246"
"2090277","182","182","182","5.928853988647461","5.928853988647461","5.928853988647461","","","","","",""
"2103162","","","","","","","176","176","176","8.37696361541748","8.37696361541748","8.37696361541748"
"2112639","184","184","184","8.793103218078613","8.793103218078613","8.793103218078613","","","","","",""
"2128861","","","","","","","178","178","178","7.6586432456970215","7.6586432456970215","7.6586432456970215"
"2140418","186","186","186","5.6987786293029785","5.6987786293029785","5.6987786293029785","","","","","",""
"2155786","","","","","","","180","180","180","6.5173115730285645","6.5173115730285645","6.5173115730285645"
"2162211","188","188","188","7.586206912994385","7.586206912994385","7.586206912994385","","","","","",""
"2188695","190","190","190","5.840456008911133","5.840456008911133","5.840456008911133","","","","","",""
"2192202","","","","","","","182","182","182","7.232968807220459","7.232968807220459","7.232968807220459"
"2217309","","","","","","","184","184","184","7.7669901847839355","7.7669901847839355","7.7669901847839355"
"2221939","192","192","192","6.115515232086182","6.115515232086182","6.115515232086182","","","","","",""
"2243492","","","","","","","186","186","186","9.003215789794922","9.003215789794922","9.003215789794922"
"2251559","194","194","194","6.553080081939697","6.553080081939697","6.553080081939697","","","","","",""
"2268098","","","","","","","188","188","188","6.674473285675049","6.674473285675049","6.674473285675049"
"2276399","196","196","196","6.738131523132324","6.738131523132324","6.738131523132324","","","","","",""
