"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"1039199","","","","","","","92","92","92","0.8032113313674927","0.8032113313674927","0.8032113313674927"
"1051207","96","96","96","0.35496002435684204","0.35496002435684204","0.35496002435684204","","","","","",""
"1062800","","","","","","","94","94","94","0.6607306003570557","0.6607306003570557","0.6607306003570557"
"1081779","98","98","98","0.31085777282714844","0.31085777282714844","0.31085777282714844","","","","","",""
"1091603","","","","","","","96","96","96","0.7849680781364441","0.7849680781364441","0.7849680781364441"
"1098699","100","100","100","0.30536702275276184","0.30536702275276184","0.30536702275276184","","","","","",""
"1117930","","","","","","","98","98","98","0.6114112734794617","0.6114112734794617","0.6114112734794617"
"1118523","102","102","102","0.5368717908859253","0.5368717908859253","0.5368717908859253","","","","","",""
"1141931","104","104","104","0.3197905719280243","0.3197905719280243","0.3197905719280243","","","","","",""
"1147083","","","","","","","100","100","100","0.6332773566246033","0.6332773566246033","0.6332773566246033"
"1163564","106","106","106","0.3735167384147644","0.3735167384147644","0.3735167384147644","","","","","",""
"1169250","","","","","","","102","102","102","0.699241578578949","0.699241578578949","0.699241578578949"
"1191781","108","108","108","0.3453354239463806","0.3453354239463806","0.3453354239463806","","","","","",""
"1195181","","","","","","","104","104","104","0.7158547043800354","0.7158547043800354","0.7158547043800354"
"1214687","110","110","110","0.25030481815338135","0.25030481815338135","0.25030481815338135","","","","","",""
"1215258","","","","","","","106","106","106","0.6468442678451538","0.6468442678451538","0.6468442678451538"
"1233651","112","112","112","0.292778342962265","0.292778342962265","0.292778342962265","","","","","",""
"1243603","","","","","","","108","108","108","0.6524056792259216","0.6524056792259216","0.6524056792259216"
"1261749","114","114","114","0.3242364823818207","0.3242364823818207","0.3242364823818207","","","","","",""
"1269949","","","","","","","110","110","110","0.6756283640861511","0.6756283640861511","0.6756283640861511"
"1286313","116","116","116","0.2754969894886017","0.2754969894886017","0.2754969894886017","","","","","",""
"1292149","","","","","","","112","112","112","0.6621802449226379","0.6621802449226379","0.6621802449226379"
"1313074","118","118","118","0.3217235505580902","0.3217235505580902","0.3217235505580902","","","","","",""
"1317217","","","","","","","114","114","114","0.6762266159057617","0.6762266159057617","0.6762266159057617"
"1339787","","","","","","","116","116","116","0.7113817930221558","0.7113817930221558","0.7113817930221558"
"1342961","120","120","120","0.31846651434898376","0.31846651434898376","0.31846651434898376","","","","","",""
"1369057","122","122","122","0.27059584856033325","0.27059584856033325","0.27059584856033325","","","","","",""
"1376254","","","","","","","118","118","118","0.7051481604576111","0.7051481604576111","0.7051481604576111"
"1392256","124","124","124","0.31104663014411926","0.31104663014411926","0.31104663014411926","","","","","",""
"1394868","","","","","","","120","120","120","0.7258554697036743","0.7258554697036743","0.7258554697036743"
"1411314","126","126","126","0.27250993251800537","0.27250993251800537","0.27250993251800537","","","","","",""
"1421903","","","","","","","122","122","122","0.7217392921447754","0.7217392921447754","0.7217392921447754"
"1435132","128","128","128","0.26110243797302246","0.26110243797302246","0.26110243797302246","","","","","",""
"1449902","","","","","","","124","124","124","0.6868781447410583","0.6868781447410583","0.6868781447410583"
"1452760","130","130","130","0.21728134155273438","0.21728134155273438","0.21728134155273438","","","","","",""
"1475488","132","132","132","0.28710702061653137","0.28710702061653137","0.28710702061653137","","","","","",""
"1478568","","","","","","","126","126","126","0.6151030659675598","0.6151030659675598","0.6151030659675598"
"1495687","134","134","134","0.3329623341560364","0.3329623341560364","0.3329623341560364","","","","","",""
"1503928","","","","","","","128","128","128","0.7096823453903198","0.7096823453903198","0.7096823453903198"
"1523128","136","136","136","0.29937800765037537","0.29937800765037537","0.29937800765037537","","","","","",""
"1531535","","","","","","","130","130","130","0.6911495923995972","0.6911495923995972","0.6911495923995972"
"1551370","138","138","138","0.3799034357070923","0.3799034357070923","0.3799034357070923","","","","","",""
"1555004","","","","","","","132","132","132","0.708345353603363","0.708345353603363","0.708345353603363"
"1578293","140","140","140","0.2969684600830078","0.2969684600830078","0.2969684600830078","","","","","",""
"1578782","","","","","","","134","134","134","0.7001277208328247","0.7001277208328247","0.7001277208328247"
"1601743","","","","","","","136","136","136","0.8056004643440247","0.8056004643440247","0.8056004643440247"
"1605155","142","142","142","0.21525201201438904","0.21525201201438904","0.21525201201438904","","","","","",""
"1627732","144","144","144","0.2920840084552765","0.2920840084552765","0.2920840084552765","","","","","",""
"1628513","","","","","","","138","138","138","0.6882331967353821","0.6882331967353821","0.6882331967353821"
"1649605","146","146","146","0.2553544342517853","0.2553544342517853","0.2553544342517853","","","","","",""
"1651184","","","","","","","140","140","140","0.82984858751297","0.82984858751297","0.82984858751297"
"1672554","148","148","148","0.3146410584449768","0.3146410584449768","0.3146410584449768","","","","","",""
"1673867","","","","","","","142","142","142","0.6974940896034241","0.6974940896034241","0.6974940896034241"
"1695649","150","150","150","0.31711381673812866","0.31711381673812866","0.31711381673812866","","","","","",""
"1703373","","","","","","","144","144","144","0.7445310354232788","0.7445310354232788","0.7445310354232788"
"1718102","152","152","152","0.27081236243247986","0.27081236243247986","0.27081236243247986","","","","","",""
"1728849","","","","","","","146","146","146","0.733096182346344","0.733096182346344","0.733096182346344"
"1743965","154","154","154","0.3342542052268982","0.3342542052268982","0.3342542052268982","","","","","",""
"1757084","","","","","","","148","148","148","0.8213458061218262","0.8213458061218262","0.8213458061218262"
"1775644","","","","","","","150","150","150","0.759853720664978","0.759853720664978","0.759853720664978"
"1776897","156","156","156","0.627282977104187","0.627282977104187","0.627282977104187","","","","","",""
"1801331","158","158","158","0.281158983707428","0.281158983707428","0.281158983707428","","","","","",""
"1802733","","","","","","","152","152","152","0.6313424110412598","0.6313424110412598","0.6313424110412598"
"1823599","160","160","160","0.26458656787872314","0.26458656787872314","0.26458656787872314","","","","","",""
"1827808","","","","","","","154","154","154","0.690605878829956","0.690605878829956","0.690605878829956"
"1845282","162","162","162","0.31714552640914917","0.31714552640914917","0.31714552640914917","","","","","",""
"1852574","","","","","","","156","156","156","0.6995738744735718","0.6995738744735718","0.6995738744735718"
"1873307","","","","","","","158","158","158","0.8177624940872192","0.8177624940872192","0.8177624940872192"
"1877128","164","164","164","0.30581921339035034","0.30581921339035034","0.30581921339035034","","","","","",""
"1897617","166","166","166","0.275577187538147","0.275577187538147","0.275577187538147","","","","","",""
"1898185","","","","","","","160","160","160","0.6614837646484375","0.6614837646484375","0.6614837646484375"
"1927468","","","","","","","162","162","162","0.7592746019363403","0.7592746019363403","0.7592746019363403"
"1929591","168","168","168","0.03787742182612419","0.03787742182612419","0.03787742182612419","","","","","",""
"1950946","","","","","","","164","164","164","0.8077799677848816","0.8077799677848816","0.8077799677848816"
"1959889","170","170","170","0.2897499203681946","0.2897499203681946","0.2897499203681946","","","","","",""
"1972418","","","","","","","166","166","166","0.6861307621002197","0.6861307621002197","0.6861307621002197"
"1987420","172","172","172","0.28926995396614075","0.28926995396614075","0.28926995396614075","","","","","",""
"1992119","","","","","","","168","168","168","0.7510154247283936","0.7510154247283936","0.7510154247283936"
"2013738","174","174","174","0.20725791156291962","0.20725791156291962","0.20725791156291962","","","","","",""
"2018173","","","","","","","170","170","170","0.7608097791671753","0.7608097791671753","0.7608097791671753"
"2035142","176","176","176","0.2653084993362427","0.2653084993362427","0.2653084993362427","","","","","",""
"2048342","","","","","","","172","172","172","0.7403585910797119","0.7403585910797119","0.7403585910797119"
"2051596","178","178","178","0.2657809853553772","0.2657809853553772","0.2657809853553772","","","","","",""
"2071006","180","180","180","0.248362734913826","0.248362734913826","0.248362734913826","","","","","",""
"2076581","","","","","","","174","174","174","0.7626546621322632","0.7626546621322632","0.7626546621322632"
"2090277","182","182","182","0.32173803448677063","0.32173803448677063","0.32173803448677063","","","","","",""
"2103162","","","","","","","176","176","176","0.784845769405365","0.784845769405365","0.784845769405365"
"2112639","184","184","184","0.22433502972126007","0.22433502972126007","0.22433502972126007","","","","","",""
"2128861","","","","","","","178","178","178","0.7397441864013672","0.7397441864013672","0.7397441864013672"
"2140418","186","186","186","0.21922476589679718","0.21922476589679718","0.21922476589679718","","","","","",""
"2155786","","","","","","","180","180","180","0.7414951324462891","0.7414951324462891","0.7414951324462891"
"2162211","188","188","188","0.3335148096084595","0.3335148096084595","0.3335148096084595","","","","","",""
"2188695","190","190","190","0.22013017535209656","0.22013017535209656","0.22013017535209656","","","","","",""
"2192202","","","","","","","182","182","182","0.6668535470962524","0.6668535470962524","0.6668535470962524"
"2217309","","","","","","","184","184","184","0.7713990211486816","0.7713990211486816","0.7713990211486816"
"2221939","192","192","192","0.305490642786026","0.305490642786026","0.305490642786026","","","","","",""
"2243492","","","","","","","186","186","186","0.8348061442375183","0.8348061442375183","0.8348061442375183"
"2251559","194","194","194","0.26503750681877136","0.26503750681877136","0.26503750681877136","","","","","",""
"2268098","","","","","","","188","188","188","0.6773838996887207","0.6773838996887207","0.6773838996887207"
"2276399","196","196","196","0.2396663874387741","0.2396663874387741","0.2396663874387741","","","","","",""
"2292292","","","","","","","190","190","190","0.8078697919845581","0.8078697919845581","0.8078697919845581"
"2300027","198","198","198","0.4200800657272339","0.4200800657272339","0.4200800657272339","","","","","",""
"2319078","","","","","","","192","192","192","0.8074749112129211","0.8074749112129211","0.8074749112129211"
"2322014","200","200","200","0.30844011902809143","0.30844011902809143","0.30844011902809143","","","","","",""
"2343490","","","","","","","194","194","194","0.757501482963562","0.757501482963562","0.757501482963562"
"2345951","202","202","202","0.28080329298973083","0.28080329298973083","0.28080329298973083","","","","","",""
"2371140","","","","","","","196","196","196","0.7424153089523315","0.7424153089523315","0.7424153089523315"
"2374210","204","204","204","0.22573480010032654","0.22573480010032654","0.22573480010032654","","","","","",""
"2395259","206","206","206","0.3102717101573944","0.3102717101573944","0.3102717101573944","","","","","",""
"2398776","","","","","","","198","198","198","0.73750901222229","0.73750901222229","0.73750901222229"
"2416297","208","208","208","0.25646892189979553","0.25646892189979553","0.25646892189979553","","","","","",""
"2422392","","","","","","","200","200","200","0.811938464641571","0.811938464641571","0.811938464641571"
"2443051","210","210","210","0.3685542047023773","0.3685542047023773","0.3685542047023773","","","","","",""
"2444982","","","","","","","202","202","202","0.895328938961029","0.895328938961029","0.895328938961029"
"2469817","212","212","212","0.2740042507648468","0.2740042507648468","0.2740042507648468","","","","","",""
"2472808","","","","","","","204","204","204","0.697983980178833","0.697983980178833","0.697983980178833"
"2493279","214","214","214","0.2582969665527344","0.2582969665527344","0.2582969665527344","","","","","",""
"2495518","","","","","","","206","206","206","0.6757010817527771","0.6757010817527771","0.6757010817527771"
"2517480","216","216","216","0.2994762361049652","0.2994762361049652","0.2994762361049652","","","","","",""
"2524282","","","","","","","208","208","208","0.6383042335510254","0.6383042335510254","0.6383042335510254"
"2545210","218","218","218","0.3957293927669525","0.3957293927669525","0.3957293927669525","","","","","",""
