"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"1243603","","","","","","","108","108","108","7.083141803741455","7.083141803741455","7.083141803741455"
"1261749","114","114","114","1.634325385093689","1.634325385093689","1.634325385093689","","","","","",""
"1269949","","","","","","","110","110","110","7.135700702667236","7.135700702667236","7.135700702667236"
"1286313","116","116","116","1.2012100219726562","1.2012100219726562","1.2012100219726562","","","","","",""
"1292149","","","","","","","112","112","112","7.2185258865356445","7.2185258865356445","7.2185258865356445"
"1313074","118","118","118","1.3608275651931763","1.3608275651931763","1.3608275651931763","","","","","",""
"1317217","","","","","","","114","114","114","7.177257061004639","7.177257061004639","7.177257061004639"
"1339787","","","","","","","116","116","116","7.236702919006348","7.236702919006348","7.236702919006348"
"1342961","120","120","120","1.2754603624343872","1.2754603624343872","1.2754603624343872","","","","","",""
"1369057","122","122","122","1.257313847541809","1.257313847541809","1.257313847541809","","","","","",""
"1376254","","","","","","","118","118","118","7.058315753936768","7.058315753936768","7.058315753936768"
"1392256","124","124","124","1.1229716539382935","1.1229716539382935","1.1229716539382935","","","","","",""
"1394868","","","","","","","120","120","120","7.151877403259277","7.151877403259277","7.151877403259277"
"1411314","126","126","126","1.2914620637893677","1.2914620637893677","1.2914620637893677","","","","","",""
"1421903","","","","","","","122","122","122","7.210775375366211","7.210775375366211","7.210775375366211"
"1435132","128","128","128","1.2046482563018799","1.2046482563018799","1.2046482563018799","","","","","",""
"1449902","","","","","","","124","124","124","7.0502824783325195","7.0502824783325195","7.0502824783325195"
"1452760","130","130","130","1.1105308532714844","1.1105308532714844","1.1105308532714844","","","","","",""
"1475488","132","132","132","1.3130760192871094","1.3130760192871094","1.3130760192871094","","","","","",""
"1478568","","","","","","","126","126","126","7.3055830001831055","7.3055830001831055","7.3055830001831055"
"1495687","134","134","134","1.342936396598816","1.342936396598816","1.342936396598816","","","","","",""
"1503928","","","","","","","128","128","128","7.27063512802124","7.27063512802124","7.27063512802124"
"1523128","136","136","136","1.1672910451889038","1.1672910451889038","1.1672910451889038","","","","","",""
"1531535","","","","","","","130","130","130","6.908073425292969","6.908073425292969","6.908073425292969"
"1551370","138","138","138","1.0725233554840088","1.0725233554840088","1.0725233554840088","","","","","",""
"1555004","","","","","","","132","132","132","7.535036563873291","7.535036563873291","7.535036563873291"
"1578293","140","140","140","1.0411441326141357","1.0411441326141357","1.0411441326141357","","","","","",""
"1578782","","","","","","","134","134","134","7.514713764190674","7.514713764190674","7.514713764190674"
"1601743","","","","","","","136","136","136","7.343889236450195","7.343889236450195","7.343889236450195"
"1605155","142","142","142","1.100511074066162","1.100511074066162","1.100511074066162","","","","","",""
"1627732","144","144","144","1.2574793100357056","1.2574793100357056","1.2574793100357056","","","","","",""
"1628513","","","","","","","138","138","138","7.653719425201416","7.653719425201416","7.653719425201416"
"1649605","146","146","146","1.105675458908081","1.105675458908081","1.105675458908081","","","","","",""
"1651184","","","","","","","140","140","140","7.584979057312012","7.584979057312012","7.584979057312012"
"1672554","148","148","148","1.3021223545074463","1.3021223545074463","1.3021223545074463","","","","","",""
"1673867","","","","","","","142","142","142","7.265305519104004","7.265305519104004","7.265305519104004"
"1695649","150","150","150","1.0535094738006592","1.0535094738006592","1.0535094738006592","","","","","",""
"1703373","","","","","","","144","144","144","7.574608325958252","7.574608325958252","7.574608325958252"
"1718102","152","152","152","1.0799652338027954","1.0799652338027954","1.0799652338027954","","","","","",""
"1728849","","","","","","","146","146","146","7.599237442016602","7.599237442016602","7.599237442016602"
"1743965","154","154","154","1.2624531984329224","1.2624531984329224","1.2624531984329224","","","","","",""
"1757084","","","","","","","148","148","148","7.831039905548096","7.831039905548096","7.831039905548096"
"1775644","","","","","","","150","150","150","7.693747043609619","7.693747043609619","7.693747043609619"
"1776897","156","156","156","1.009582281112671","1.009582281112671","1.009582281112671","","","","","",""
"1801331","158","158","158","1.2130249738693237","1.2130249738693237","1.2130249738693237","","","","","",""
"1802733","","","","","","","152","152","152","7.695791244506836","7.695791244506836","7.695791244506836"
"1823599","160","160","160","1.1226028203964233","1.1226028203964233","1.1226028203964233","","","","","",""
"1827808","","","","","","","154","154","154","7.959126949310303","7.959126949310303","7.959126949310303"
"1845282","162","162","162","1.2826333045959473","1.2826333045959473","1.2826333045959473","","","","","",""
"1852574","","","","","","","156","156","156","7.887344837188721","7.887344837188721","7.887344837188721"
"1873307","","","","","","","158","158","158","7.832716464996338","7.832716464996338","7.832716464996338"
"1877128","164","164","164","1.1627495288848877","1.1627495288848877","1.1627495288848877","","","","","",""
"1897617","166","166","166","1.0774654150009155","1.0774654150009155","1.0774654150009155","","","","","",""
"1898185","","","","","","","160","160","160","7.859717845916748","7.859717845916748","7.859717845916748"
"1927468","","","","","","","162","162","162","7.129378795623779","7.129378795623779","7.129378795623779"
"1929591","168","168","168","1.1517995595932007","1.1517995595932007","1.1517995595932007","","","","","",""
"1950946","","","","","","","164","164","164","7.681221008300781","7.681221008300781","7.681221008300781"
"1959889","170","170","170","1.085233211517334","1.085233211517334","1.085233211517334","","","","","",""
"1972418","","","","","","","166","166","166","8.066771507263184","8.066771507263184","8.066771507263184"
"1987420","172","172","172","0.8825423717498779","0.8825423717498779","0.8825423717498779","","","","","",""
"1992119","","","","","","","168","168","168","8.033736228942871","8.033736228942871","8.033736228942871"
"2013738","174","174","174","0.9430491924285889","0.9430491924285889","0.9430491924285889","","","","","",""
"2018173","","","","","","","170","170","170","8.242939949035645","8.242939949035645","8.242939949035645"
"2035142","176","176","176","1.052819013595581","1.052819013595581","1.052819013595581","","","","","",""
"2048342","","","","","","","172","172","172","8.214844703674316","8.214844703674316","8.214844703674316"
"2051596","178","178","178","1.1039276123046875","1.1039276123046875","1.1039276123046875","","","","","",""
"2071006","180","180","180","1.2252434492111206","1.2252434492111206","1.2252434492111206","","","","","",""
"2076581","","","","","","","174","174","174","8.222980499267578","8.222980499267578","8.222980499267578"
"2090277","182","182","182","1.0746748447418213","1.0746748447418213","1.0746748447418213","","","","","",""
"2103162","","","","","","","176","176","176","8.37717056274414","8.37717056274414","8.37717056274414"
"2112639","184","184","184","1.075647234916687","1.075647234916687","1.075647234916687","","","","","",""
"2128861","","","","","","","178","178","178","8.253850936889648","8.253850936889648","8.253850936889648"
"2140418","186","186","186","0.9722449779510498","0.9722449779510498","0.9722449779510498","","","","","",""
