Reg. weight,traffic_scene,agent_id,act_acc,accel_val_mae,steer_val_mae,ADE,speed_mae,goal_rate,off_road,collision_rate,Agent,Train agent,Dataset,Eval mode
0.0,tfrecord-00031-of-01000_19.json,38,0.0,3.9199999999999995,0.06333333333333334,1.5222171376885743,6.5775173505147295,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_427.json,104,0.0,3.8833333333333333,0.057499999999999996,1.030252527363227,4.775175154209137,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_438.json,89,0.0,4.0,0.12,0.0,0.0005342085205484182,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_441.json,94,0.0,3.130434782608695,0.0965217391304348,0.7450199742035872,3.612239474835603,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_442.json,26,0.0,3.0297872340425522,0.07106382978723405,2.0447034325154436,6.844378207592254,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_444.json,112,0.0,4.0,0.18,0.0,0.0013942798104835674,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00034-of-01000_445.json,16,0.0,4.066666666666666,0.145,0.327853307152609,2.152941012289375,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_333.json,12,0.0,4.551724137931036,0.1586206896551724,1.3224828879236146,6.263673091756886,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_340.json,32,0.0,3.5478260869565217,0.06782608695652174,2.3433005083523004,7.924456015877102,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_342.json,22,0.0,4.1189189189189195,0.07135135135135137,1.9201136808803319,7.1789239419473185,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_344.json,44,0.0,4.159999999999999,0.07999999999999999,0.26459297302788,1.9003115966916084,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_345.json,27,0.0,3.835897435897435,0.05384615384615385,2.024659525071177,7.267812447670178,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_347.json,10,0.0,5.755555555555556,0.031111111111111114,0.8365651369428668,4.439987818400065,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_350.json,40,0.0,4.288,0.07440000000000001,1.154654717956929,5.250977897644043,1.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00038-of-01000_352.json,8,0.0,3.0122448979591834,0.06,2.110048874816793,7.056537453009158,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00052-of-01000_103.json,62,0.0,4.0,0.12,0.0,0.0005038176896050572,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00052-of-01000_104.json,28,0.0,3.908571428571428,0.044000000000000004,1.7485035632613777,6.748758425031389,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00052-of-01000_106.json,80,0.0,4.140000000000001,0.079,0.7649906096357382,3.894797658920288,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00052-of-01000_110.json,65,0.0,4.4,0.08000000000000002,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00052-of-01000_117.json,92,0.0,3.9599999999999995,0.03749999999999999,2.0900039568662834,7.503218483924866,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_351.json,44,0.0,5.644444444444444,0.06296296296296296,1.6516072468447998,7.237518257564968,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_352.json,19,0.0,4.6625,0.06125,1.7997591085964018,7.168198123574257,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_356.json,142,0.0,3.7119999999999997,0.09119999999999999,1.0332262085612895,4.627378940582275,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_357.json,8,0.0,4.7555555555555555,0.05111111111111112,0.7539655538353532,4.05050610171424,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_361.json,12,0.0,3.090909090909091,0.06272727272727273,1.8261305017227385,6.1356748894534325,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00057-of-01000_364.json,6,0.0,4.0,0.10249999999999998,0.3520954095665719,1.3972268104553223,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_146.json,2,0.0,2.648888888888888,0.04622222222222223,1.6770245713123868,5.653172532717387,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_160.json,18,0.0,4.0,0.06000000000000001,0.47638466975725946,2.8002199940902455,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_166.json,16,0.0,3.285106382978723,0.04595744680851064,2.268232791295549,7.667708265020492,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_168.json,36,0.0,4.461538461538461,0.14923076923076922,0.34951348786907926,2.164263651921199,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_169.json,42,0.0,4.988235294117647,0.06235294117647059,0.6830717204540832,3.6374923271291397,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00059-of-01000_175.json,63,0.0,4.2125,0.081875,1.6406735850078429,6.552799805998802,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00060-of-01000_101.json,7,0.0,3.7735849056603774,0.06415094339622641,3.1206743546767637,9.939837689669627,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00060-of-01000_98.json,25,0.0,4.022857142857143,0.06514285714285716,1.7478222925575526,6.753164713723319,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_233.json,28,0.0,2.812499999999999,0.084375,1.0269275210457005,4.070665782317519,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_234.json,13,0.0,4.0,0.06699999999999999,0.7470160869790132,3.798122954160499,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_235.json,25,0.0,4.228571428571429,0.11571428571428573,0.44125429217461976,2.688182631241424,1.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_238.json,17,0.0,5.03448275862069,0.07379310344827586,1.693053791718065,7.095575398412244,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_239.json,24,0.0,3.84,0.08700000000000001,0.7249370299423361,3.6950843393802644,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00061-of-01000_243.json,17,0.0,5.104761904761905,0.14571428571428569,0.931654399445809,4.740976391027549,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_47.json,34,0.0,4.32,0.0544,1.1365719077287582,5.113934154510498,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_48.json,29,0.0,4.063157894736842,0.08526315789473685,0.700587654646203,3.635812382949026,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_50.json,20,0.0,4.174358974358973,0.05179487179487179,2.223339045930223,7.880734174679487,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_51.json,90,0.0,4.296774193548386,0.05677419354838711,1.6491173127027858,6.660914574899981,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_52.json,4,0.0,5.314285714285715,0.09333333333333334,1.0201719863395153,4.979730082409723,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00065-of-01000_54.json,16,0.0,3.4731707317073166,0.06634146341463415,1.8360189465089898,6.792143972908578,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00067-of-01000_73.json,101,0.0,4.1090909090909085,0.1463636363636364,1.0017981992437481,4.797443454915827,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00067-of-01000_83.json,74,0.0,2.963636363636364,0.05454545454545456,0.7348200904980297,3.6677407784895464,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00067-of-01000_85.json,11,0.0,3.8960000000000004,0.0236,3.0062315852469648,9.621432094573974,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_338.json,7,0.0,4.08,0.08266666666666665,0.5395114119230863,3.2132952849070233,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_339.json,11,0.0,4.8,0.03777777777777778,0.23894136145794848,1.8257421023315854,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_340.json,7,0.0,4.4,0.08444444444444445,0.3185058536453335,1.8206223381890192,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_350.json,8,0.0,2.55,0.0778125,2.3937254594367037,7.276409596204758,1.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_352.json,106,0.0,4.688,0.1368,1.0616218163639866,5.132485585212708,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00068-of-01000_354.json,213,0.0,3.2,0.3,0.000244140625,0.0014906221185810864,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_398.json,91,0.0,4.0,0.2,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_399.json,28,0.0,3.266666666666666,0.0725,0.8095554073829363,3.8603353103001914,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_400.json,13,0.0,4.381818181818182,0.08818181818181822,0.8820877751591234,4.170387669043108,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_401.json,46,0.0,4.325000000000001,0.1275,0.5559786276904432,3.1572509091347456,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_414.json,13,0.0,5.0814814814814815,0.03333333333333333,1.5750486637532812,6.8564388663680464,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_416.json,47,0.0,4.0,0.03999999999999998,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00070-of-01000_421.json,7,0.0,3.1999999999999993,0.15999999999999998,0.0,0.0,0.0,1.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00072-of-01000_66.json,38,0.0,3.0833333333333335,0.06,2.2477082827825834,7.327687859535217,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00072-of-01000_67.json,6,0.0,4.279069767441861,0.06046511627906977,2.6128614582864986,9.152771306592365,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00072-of-01000_70.json,40,0.0,3.0490566037735842,0.07547169811320754,2.390099096165018,7.734937649852824,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00073-of-01000_417.json,13,0.0,3.2642857142857147,0.05714285714285714,2.906946191070869,8.955082041876656,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00073-of-01000_421.json,4,0.0,4.007407407407409,0.07888888888888887,2.986771506137495,9.88763244063766,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00073-of-01000_439.json,6,0.0,3.034146341463414,0.0897560975609756,1.4476069009690455,5.565895790733943,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00073-of-01000_442.json,44,0.0,2.644897959183673,0.07102040816326531,2.074749497141863,6.4499474593571255,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00073-of-01000_444.json,60,0.0,3.5999999999999996,0.018823529411764704,0.5810572393960907,3.253277624354643,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_301.json,16,0.0,4.661538461538462,0.15615384615384614,1.155152989107354,5.246727428255746,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_304.json,6,0.0,3.437037037037037,0.07999999999999999,1.1451596036777045,5.297159654122812,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_315.json,26,0.0,4.0,0.03999999999999998,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_316.json,23,0.0,3.8842105263157887,0.05105263157894738,2.0231579503508668,7.375451891045821,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_318.json,24,0.0,3.2266666666666666,0.05288888888888889,1.9381219164575008,6.579040326012505,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_322.json,12,0.0,4.15483870967742,0.0767741935483871,1.5539764818944517,6.535409435149162,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00077-of-01000_324.json,29,0.0,3.5217391304347814,0.05913043478260871,2.3689899779895107,7.7234214285145635,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_343.json,2,0.0,4.812121212121212,0.04303030303030303,1.925551961446431,7.740446206295129,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_349.json,6,0.0,4.0200000000000005,0.081,0.7310565002687988,3.7249212503433227,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_353.json,6,0.0,3.5840000000000005,0.04079999999999999,0.9786665427530957,4.430772094726563,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_356.json,8,0.0,4.3578947368421055,0.09894736842105263,0.6680699391209448,3.703890750282689,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_357.json,7,0.0,3.6754716981132076,0.06377358490566039,3.0799509812342976,9.69468098766399,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_361.json,11,0.0,3.2941176470588225,0.08411764705882353,1.2835377614788221,5.264009840348187,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00078-of-01000_362.json,163,0.0,4.509090909090909,0.03818181818181818,0.3355392075980754,2.33561879938299,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00083-of-01000_74.json,129,0.0,4.0,0.08000000000000002,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00083-of-01000_79.json,15,0.0,2.433333333333333,0.07375,1.7073974223914297,5.6290563096602755,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00084-of-01000_105.json,7,0.0,5.413333333333332,0.08000000000000002,0.6541064194657485,3.8783924102783205,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00084-of-01000_113.json,24,0.0,2.811111111111111,0.05444444444444444,1.4338917618985538,5.5856230523851185,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00084-of-01000_114.json,1,0.0,4.993548387096774,0.04838709677419355,1.8851704012875994,7.826814959126134,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00084-of-01000_92.json,35,0.0,3.087179487179487,0.06820512820512821,1.521685632557715,5.493203279299614,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00084-of-01000_93.json,24,0.0,4.0,0.07999999999999999,0.0001220703125,0.0006271118472795933,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00086-of-01000_74.json,16,0.0,3.5999999999999996,0.051627906976744194,2.1729660962669213,7.67688374186671,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_204.json,24,0.0,3.2947368421052623,0.040000000000000015,1.6788119468067049,6.2770022969496875,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_206.json,25,0.0,3.822222222222222,0.11333333333333336,0.5641000145552583,2.993957701863514,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_209.json,3,0.0,3.8000000000000003,0.04925925925925925,3.1788544337614066,10.027921817920825,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_216.json,17,0.0,4.146938775510204,0.05061224489795918,3.1842320993361195,10.239530368727081,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_217.json,13,0.0,3.0095238095238095,0.16190476190476188,1.654385436220767,5.913969386191595,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00087-of-01000_221.json,14,0.0,5.365517241379309,0.055172413793103454,1.801847798181713,7.581845908329405,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
